device max_iat max_rtt mean_iat mean_rtt median_iat median_rtt min_iat min_rtt
0 0.000013665 0.183980442 0.000006223 0.008211173 0.000003233 0.003999637 0.000001981 0.002661847
0 0.000014067 0.112004826 0.000009138 0.006273910 0.000012989 0.003999532 0.000002520 0.003972826
0 0.000018779 0.123997368 0.000011326 0.006267197 0.000013159 0.003999444 0.000002141 0.003970613
0 0.000014108 0.124002939 0.000010467 0.006383185 0.000013090 0.003999438 0.000002547 0.003955779
0 0.000019170 0.119981004 0.000010523 0.006143214 0.000013039 0.003999499 0.000002062 0.003958151
0 0.000015231 0.111999862 0.000011637 0.006352515 0.000013062 0.003999486 0.000002141 0.003956705
0 0.000014108 0.119998806 0.000007743 0.006203194 0.000003147 0.003999495 0.000002125 0.003902143
0 0.000013411 0.139994206 0.000004860 0.006539255 0.000002742 0.003999588 0.000002225 0.003971194
0 0.003998718 0.123999875 0.000085980 0.006403209 0.000002764 0.003999491 0.000002528 0.003957352
0 0.000014100 0.363999684 0.000008482 0.006624560 0.000012740 0.003999521 0.000002583 0.003970717
0 0.000013473 0.111998686 0.000011802 0.006023280 0.000013035 0.003999595 0.000002743 0.003973651
0 0.000013404 0.123999792 0.000011386 0.006161876 0.000013006 0.003999536 0.000002783 0.003954053
0 0.000014202 0.103999804 0.000009700 0.006276543 0.000013003 0.003999631 0.000002714 0.003955549
0 0.000014659 0.123998889 0.000007759 0.007085888 0.000003572 0.003999652 0.000002811 0.003957200
0 0.000014204 0.107999380 0.000009781 0.006181908 0.000013189 0.003999600 0.000002642 0.003955865
0 0.000014018 0.123999752 0.000008086 0.006459237 0.000003792 0.003999559 0.000002838 0.003960342
0 0.000014002 0.123998826 0.000009470 0.006513920 0.000013209 0.003999614 0.000002615 0.003957647
0 0.000013935 0.160005580 0.000004184 0.006421913 0.000003120 0.003999602 0.000002580 0.003957351
0 0.000014077 0.123999692 0.000005660 0.006484535 0.000003286 0.003999499 0.000002572 0.003973426
0 0.004001053 0.123994678 0.000088299 0.006225846 0.000012843 0.003999449 0.000002590 0.003947400
0 0.000019855 0.131999692 0.000007046 0.006855171 0.000003532 0.003999482 0.000002792 0.003970152
0 0.000013911 0.123998888 0.000007351 0.006680529 0.000003578 0.003999534 0.000002797 0.003975889
0 0.000020458 0.111995325 0.000007801 0.006169911 0.000003947 0.003999551 0.000002675 0.003973675
0 0.000014690 0.123998542 0.000007146 0.006517905 0.000003679 0.003999587 0.000002179 0.003976477
0 0.000013922 0.119995857 0.000007534 0.006128610 0.000003699 0.003999568 0.000002786 0.003972944
0 0.000014367 0.127999119 0.000006845 0.006127272 0.000003516 0.003999587 0.000002728 0.003933780
0 0.000014093 0.115999361 0.000007834 0.006332605 0.000003873 0.003999619 0.000002662 0.003972574
0 0.000016573 0.104000348 0.000008272 0.006205899 0.000005412 0.003999564 0.000002742 0.003955905
0 0.000014686 0.136005093 0.000008593 0.006423239 0.000012656 0.003999684 0.000002588 0.003938315
0 0.000014503 0.115999697 0.000009115 0.006743251 0.000012910 0.003999645 0.000002764 0.003937860
0 0.000013826 0.115999674 0.000006096 0.006973895 0.000003141 0.003999624 0.000002550 0.003971512
0 0.000014018 0.123998862 0.000003525 0.006416518 0.000002916 0.003999532 0.000002557 0.003956422
0 0.000008777 0.132001255 0.000002985 0.006429925 0.000002769 0.003999695 0.000002234 0.003972886
0 0.000014807 0.135999364 0.000007237 0.006683212 0.000003441 0.003999663 0.000002571 0.003972776
0 0.000013813 0.124000691 0.000011695 0.006631214 0.000013101 0.003999641 0.000002444 0.003974703
0 0.000017581 0.116001078 0.000008438 0.006836512 0.000012741 0.003999559 0.000002351 0.003970432
0 0.000013505 0.123999115 0.000006853 0.006628502 0.000002866 0.003999516 0.000001979 0.003959201
0 0.000014811 0.123999996 0.000010146 0.006835215 0.000012959 0.003999564 0.000002256 0.003971600
0 0.000014107 0.915998949 0.000005768 0.007035264 0.000002904 0.003999723 0.000002431 0.003957536
0 0.000013379 0.111998909 0.000009156 0.006241909 0.000012915 0.003999664 0.000002204 0.003902427
0 0.000013239 0.127999094 0.000006205 0.007273905 0.000002860 0.003999690 0.000002626 0.003971517
0 0.000014076 0.124000177 0.000003149 0.006533342 0.000002734 0.003999169 0.000002133 0.000101060
0 0.000015357 0.075952506 0.000009121 0.005899424 0.000013172 0.003969719 0.000002506 0.000101189
0 0.000018512 0.111932104 0.000010907 0.006055034 0.000013185 0.003969607 0.000002556 0.000102490
0 0.000013561 0.195917675 0.000007745 0.006532559 0.000003119 0.003969985 0.000002046 0.000102756
0 0.000017511 0.135976709 0.000011302 0.006310660 0.000013035 0.003973934 0.000002370 0.000102917
0 0.000013480 0.079972365 0.000008753 0.005785032 0.000012994 0.003974428 0.000002252 0.000100555
0 0.000013480 0.107946402 0.000005868 0.005970821 0.000002814 0.003973633 0.000002332 0.000101073
0 0.000017568 0.107966656 0.000011180 0.005820563 0.000013059 0.003973826 0.000002665 0.000102253
0 0.000013937 0.123961435 0.000010480 0.005969204 0.000013011 0.003973082 0.000002684 0.000101815
0 0.000019442 0.103923129 0.000009831 0.005776208 0.000013028 0.003973682 0.000002313 0.000100747
0 0.000013965 0.083974973 0.000010256 0.006028170 0.000013071 0.003973601 0.000002357 0.000103855
0 0.000013726 0.115999155 0.000010407 0.006137465 0.000013070 0.003973762 0.000002213 0.000101713
0 0.000013731 0.075946034 0.000007165 0.005970361 0.000003160 0.003973364 0.000002400 0.000110624
0 0.000014463 0.139979073 0.000006022 0.005957647 0.000002943 0.003973717 0.000002255 0.000101796
0 0.000026088 0.099976130 0.000009204 0.006079179 0.000012849 0.003973572 0.000002255 0.000100419
